,time,name,country,place,marathon,day,month,year,gender
74,2:26:12,Agnes Jepkemboi KIPROP,KEN,4,Ottawa,24,MAY,2015,F
75,2:26:16,Sylvia KIBET,KEN,2,Hamburg,26,APR,2015,F
76,2:26:20,LEMA,ETH,5,Paris,12,APR,2015,F
77,2:26:22,SHONE,ETH,1,Seoul,15,MAR,2015,F
78,2:26:23,Rael KIYARA,KEN,1,Shanghai,8,NOV,2015,F
79,2:26:25,Fatuma SADO,ETH,1,Warsaw,26,APR,2015,F
80,2:26:30,Asami KATO,JPN,1,Rotterdam,12,APR,2015,F
81,2:26:31,Janet RONO,KEN,4,Prague,3,MAY,2015,F
82,2:26:33,Rkia EL MKOUM,MAR,10,London,26,APR,2015,F
83,2:26:39,Risa SHIGETOMO,JPN,3,Osaka,25,JAN,2015,F
84,2:26:43,Selly Kaptich CHEPYEGO,KEN,4,Tokyo,22,FEB,2015,F
85,2:26:45,Meselech MELKAMU,ETH,5,Ottawa,24,SEP,2015,F
86,2:26:46,Andrea DEELSTRA,NED,5,Berlin,27,SEP,2015,F
87,2:26:48,Biruktayit ESHETU,ETH,6,Paris,12,APR,2015,F
88,2:26:49,Maja NEUENSCWANDER,SUI,6,Berlin,27,SEP,2015,F
89,2:26:54,Flomena CHEYCH,KEN,5,Tokyo,22,FEB,2015,F
90,2:26:54,Changqin DING,CHN,1,Chongqing,22,MAR,2015,F
91,2:26:55,Ashete BEKERE,ETH,5,Prague,3,MAY,2015,F
92,2:26:57,Christelle DAUNAY,FRA,5,New York,1,NOV,2015,F
93,2:26:57,Beata NAIGAMBO,NAM,1,Valencia,15,NOV,2015,F
94,2:27:03,Priscah JEPTOO,KEN,6,New York,1,NOV,2015,F
95,2:27:06,Mercy KIBARUS,KEN,2,Warsaw,26,APR,2015,F
96,2:27:08,Lucy KARIMI,KEN,16,Dubai,23,JAN,2015,F
97,2:27:12,Sechale DALASA,ETH,4,Houston,18,JAN,2015,F
98,2:27:14,Yeshi ESAYIAS,ETH,6,Ottawa,24,MAY,2015,F
99,2:27:16,Edna KIPLAGAT,KEN,11,London,26,APR,2015,F
0,2:18:11,Gladys CHERONO,KEN,1,Berlin,16,SEP,2018,F
